,Class,I0,PA500,HFS,DA,Area,A/DA,Max IP,DR,P
1,1,330.0,0.2268928027592628,0.265290046303138,121.15420067084524,3163.2394719946246,26.10920178152628,69.71736145019531,99.08496400029006,400.225775982673
4,1,362.8312659099756,0.2007128639793478,0.2443460952792061,124.9125593692456,3290.462446276584,26.34212654749848,69.38938903808594,103.86655188187632,424.7965033868247
5,1,389.8729777095242,0.1500983156715123,0.0977384381116824,118.62581427057492,2475.5570776229497,20.86862031544352,49.75714874267578,107.68616416140613,429.3857878603525
6,1,290.4551411532091,0.1441641962147316,0.0530580092606274,74.63506664406037,1189.545212901851,15.938154360802969,35.703330993652344,65.54132446085868,330.2672928956972
7,1,275.6773933601227,0.1539380400258998,0.18779742751459,91.52789333929384,1756.2348373882546,19.18797399693112,39.30518341064453,82.65868215284968,331.5883016673299
10,1,410.0,0.3178244567881674,0.2974041045398334,255.8151790764917,10622.547110129051,41.52430339934124,67.52320861816406,246.74282554382629,508.540356016855
11,1,500.0,0.2272418686096617,0.0509636141582343,219.29550228031897,9819.449614233885,44.777250386476105,76.86849975585938,207.26664042037737,602.5278406267234
15,1,390.0,0.3583160954344358,0.2038544566329378,245.68610306624785,10055.83687253999,40.92961200100313,70.32478332519531,236.4901696665115,477.54835996048695
16,1,269.4959462917762,0.2075196480621258,0.038397243543875,80.41108548176676,1963.605248098935,24.41958389610576,44.74015426635742,66.8383093173733,329.09064707664464
18,1,325.0,0.2246238747316701,0.2869321290278681,229.21586339233417,5705.332089508527,24.89065113151909,35.60271453857422,227.264793739528,462.7030069338848
20,1,500.0,0.1926843494201739,0.1947787445225673,144.6885779146182,3055.0129631203927,21.11440313500889,96.56336975097656,107.75110297895458,542.8970888920198
21,3,211.0,0.0539306738866248,0.0942477796076937,30.7534434582692,151.98457755532118,4.942034467182716,14.2683744430542,27.243123660049665,217.1307040275984
22,3,196.8567141789591,0.0200712863979347,0.0907571211037051,28.593126134661137,82.05888852917809,2.8698816681574644,7.968783378601074,27.66151595314264,200.7493364346556
24,3,352.6564467782465,0.1219985147144036,0.0907571211037051,68.52784638667464,1066.1578463393034,15.558023527011343,43.691925048828125,52.79281667019672,382.73318653544993
26,3,259.8851450407546,0.0706858347057703,0.0069813170079773,58.24380727602831,465.08726503862937,7.985179657547002,17.506837844848633,56.34024079034785,267.5174460283504
27,3,250.0,0.0680678408277788,-0.01535889741755,57.17243116227276,652.9013493690755,11.419863316918304,17.776981353759766,55.79126957000963,278.30861515872283
30,3,272.0,0.0914552528045029,0.0048869219055839,63.78938031219217,718.9463101980333,11.27062697081288,20.08555603027344,60.69072911877481,286.9202203239993
34,3,155.0,0.1727875959474386,0.1186823891356143,38.9401684059518,415.1116010234756,10.660241545335175,25.836502075195312,29.13437617898028,184.8170409367668
37,5,195.0,0.139102741383948,0.2052507200345334,37.462195623139095,328.38405161899385,8.765744937175077,35.023826599121094,13.294650258734208,232.58762767330845
39,5,250.0,0.0471238898038468,0.0139626340159546,70.9070400206956,224.14578734211784,3.161121762757217,9.10217571258545,70.32040044899304,232.2776288185337
44,5,172.5157972533025,0.1272345024703866,0.038397243543875,37.54367322444317,192.2181478854453,5.119854595375604,19.322080612182617,32.18982081049313,174.93376995383633
45,5,121.0,0.174183859349034,0.090757121103705,24.43718040811283,144.46651320321536,5.911750488008606,22.021080017089844,10.59470820784567,141.7661848938744
47,5,370.3957246909314,0.1047197551196597,0.0,115.9232531156592,1308.12043044167,11.284366123995238,31.36703109741211,112.71510160101178,365.977651261771
48,5,260.277521025484,0.0790634151153431,0.0328121899374932,58.81761140773777,277.2590342852011,4.713877827563841,17.868669509887695,56.037684022714274,248.6234122407737
49,5,544.6543494729137,0.063704517697793,0.0020943951023932,100.78808024932655,1189.2902332860183,11.79990957605292,29.412221908569336,96.580149981286,553.3582098767375
52,5,281.3232629076812,0.2323033234404452,0.4377285764001779,157.88418118673636,5305.123206081093,33.601359972893654,46.38433456420898,150.91689173585235,398.8955488423815
53,5,327.0,0.1410226035611418,0.0844739357965254,76.21286812772871,1664.674076127606,21.8424278868196,43.2216911315918,62.77170285665835,379.2618386249604
54,4,470.51642013660114,0.127409035395586,0.0663225115757847,150.22402227826112,2657.9103674885123,17.692978307858407,47.56063079833984,142.49646797522144,491.4724884651377
55,4,223.0,0.1240929098167968,0.0795870138909415,33.09633497808125,197.01254052914408,5.952699616426405,30.45487403869629,12.956389661393189,252.48334783646013
57,4,303.0,0.0633554518473941,0.0397935069454706,22.567892704763523,102.50030898967212,4.541864423523994,21.830841064453125,5.720500628933564,321.6468373620464
